Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,33,F,1,Graduate,Single,$40K - $60K,Blue,24,5,1,2,5830.0,1665,0.684,2263,60,0.714,0.286
Attrited Customer,54,F,2,Post-Graduate,Married,Less than $40K,Blue,47,3,4,3,1438.3,0,1.053,1154,22,0.375,0.0
Existing Customer,33,M,2,High School,Single,$60K - $80K,Blue,23,4,2,1,2400.0,0,1.064,2677,70,0.892,0.0
Existing Customer,57,F,3,Unknown,Married,$40K - $60K,Blue,48,4,2,2,3585.0,1244,0.507,1344,37,0.85,0.347
Existing Customer,34,M,3,Uneducated,Married,$80K - $120K,Blue,25,6,3,2,9131.0,916,0.863,1893,36,0.565,0.1
Existing Customer,37,F,3,High School,Single,Less than $40K,Blue,31,5,1,3,1438.3,0,0.79,2075,66,0.692,0.0
Existing Customer,39,M,2,Post-Graduate,Married,$60K - $80K,Blue,36,6,3,2,5471.0,2056,0.465,1992,46,0.704,0.376
Existing Customer,39,M,2,High School,Married,$80K - $120K,Blue,34,6,3,3,8823.0,1541,1.06,1961,32,1.0,0.175
Existing Customer,55,M,1,Graduate,Married,$60K - $80K,Blue,44,6,2,4,2173.0,1520,0.652,1485,26,0.529,0.699
Existing Customer,57,M,1,Doctorate,Married,$80K - $120K,Blue,51,5,2,2,8571.0,1616,0.6,1397,28,0.647,0.189
Existing Customer,53,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,2,3924.0,2517,0.511,1417,30,0.667,0.641
Existing Customer,37,M,2,Graduate,Single,$60K - $80K,Blue,23,6,1,2,5663.0,1149,0.767,2553,61,0.794,0.203
Existing Customer,60,F,0,Uneducated,Married,Less than $40K,Blue,49,3,1,2,3955.0,2000,0.425,1560,43,0.483,0.506
Existing Customer,29,F,0,Uneducated,Single,Less than $40K,Blue,23,5,3,4,7997.0,0,0.935,2208,56,0.806,0.0
Existing Customer,37,M,2,Graduate,Married,$80K - $120K,Blue,27,4,2,1,12702.0,2008,0.51,1992,40,0.667,0.158
Existing Customer,43,M,1,High School,Married,$60K - $80K,Blue,23,4,3,2,7189.0,1550,0.538,1935,52,0.368,0.216
Existing Customer,58,M,1,Graduate,Married,$80K - $120K,Blue,42,4,3,1,12421.0,2517,0.73,1913,49,0.69,0.203
Attrited Customer,65,M,1,Unknown,Single,Less than $40K,Blue,36,3,4,4,2351.0,0,0.881,1593,35,0.591,0.0
Existing Customer,62,F,1,Graduate,Married,Less than $40K,Blue,49,4,2,2,3143.0,2517,0.625,1323,25,0.923,0.801
Existing Customer,51,F,1,College,Married,$40K - $60K,Blue,44,4,2,1,1438.3,0,0.803,2207,68,0.511,0.0
Existing Customer,39,M,2,Uneducated,Married,Less than $40K,Blue,34,4,2,4,3702.0,1118,1.04,2585,64,0.778,0.302
Existing Customer,51,F,1,High School,Married,Unknown,Blue,36,3,2,3,9095.0,2517,0.37,1347,27,0.421,0.277
Existing Customer,59,M,2,High School,Married,$40K - $60K,Blue,50,6,3,2,2701.0,1572,0.475,1469,36,0.5,0.582
Existing Customer,56,M,3,Unknown,Married,$40K - $60K,Blue,45,6,2,4,1813.0,1387,0.406,1468,32,0.231,0.765
Existing Customer,56,F,2,Graduate,Married,Unknown,Blue,36,3,3,2,5335.0,996,0.469,1454,43,0.433,0.187
Existing Customer,26,M,0,High School,Single,Less than $40K,Blue,36,6,3,3,2735.0,1348,0.805,2441,58,0.45,0.493
Existing Customer,35,M,2,College,Married,$80K - $120K,Blue,36,5,2,4,15279.0,1496,0.997,2079,57,0.425,0.098
Existing Customer,38,M,3,High School,Married,$60K - $80K,Blue,26,5,4,2,5824.0,1542,0.827,1801,44,0.571,0.265
Existing Customer,56,F,5,Doctorate,Married,Unknown,Blue,48,4,2,2,11281.0,2118,0.534,1255,30,0.304,0.188
Existing Customer,59,M,0,High School,Married,$80K - $120K,Blue,47,5,1,2,3278.0,1306,0.399,1374,32,0.391,0.398
Existing Customer,56,M,2,High School,Married,$40K - $60K,Blue,36,5,2,3,3295.0,2002,0.599,1191,34,0.545,0.608
Existing Customer,31,M,0,Graduate,Divorced,$60K - $80K,Blue,24,6,2,2,4232.0,2092,0.604,2565,69,0.865,0.494
Existing Customer,26,M,1,College,Single,$40K - $60K,Blue,36,3,4,3,2703.0,1256,0.949,2111,29,0.706,0.465
Existing Customer,29,M,1,Graduate,Married,Less than $40K,Blue,18,4,1,4,2710.0,629,0.771,1718,37,0.762,0.232
Existing Customer,35,F,0,High School,Single,Less than $40K,Blue,36,4,3,4,5931.0,0,0.668,2730,71,0.614,0.0
Existing Customer,35,M,2,Uneducated,Unknown,$120K +,Blue,29,5,1,2,3300.0,1731,0.689,1745,27,0.929,0.525
Existing Customer,56,F,4,High School,Married,Less than $40K,Blue,51,4,2,3,1438.3,0,0.472,1354,24,0.714,0.0
Existing Customer,49,M,4,College,Unknown,Less than $40K,Blue,43,5,2,4,9652.0,2517,0.889,3762,73,0.587,0.261
Existing Customer,36,M,4,Graduate,Divorced,$120K +,Blue,29,3,2,2,1651.0,770,0.736,2516,54,0.385,0.466
Existing Customer,58,M,1,High School,Married,$60K - $80K,Blue,47,3,1,4,2212.0,1392,0.573,1387,34,0.7,0.629
Existing Customer,39,F,2,Graduate,Married,$40K - $60K,Blue,26,5,1,2,2575.0,1424,0.543,1487,33,0.737,0.553
Existing Customer,51,M,2,Unknown,Married,$120K +,Blue,42,4,1,4,10306.0,1427,0.709,1456,44,0.294,0.138
Existing Customer,34,F,3,Graduate,Married,Less than $40K,Blue,23,5,3,3,2263.0,1794,0.794,2154,37,0.542,0.793
Existing Customer,39,M,3,Unknown,Single,$80K - $120K,Blue,23,6,1,4,2718.0,2156,0.668,1711,36,0.44,0.793
Existing Customer,54,F,1,College,Married,Unknown,Blue,43,3,3,2,5839.0,2130,0.687,1640,44,0.333,0.365
Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,43,4,2,3,11909.0,1018,1.006,1938,53,0.656,0.085
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,39,4,1,4,9264.0,629,0.659,4107,79,0.58,0.068
Attrited Customer,30,M,1,College,Divorced,Less than $40K,Blue,19,4,3,3,7970.0,0,0.776,1284,30,0.429,0.0
Existing Customer,37,M,1,Uneducated,Single,$80K - $120K,Blue,36,6,1,2,3127.0,2378,0.862,2292,49,0.441,0.76
Existing Customer,38,M,2,Uneducated,Single,$40K - $60K,Blue,36,5,1,2,7756.0,1670,0.78,1858,51,0.545,0.215
Existing Customer,33,M,1,Post-Graduate,Married,$80K - $120K,Blue,36,4,3,2,2946.0,1359,0.746,2017,48,0.455,0.461
Existing Customer,39,M,5,Unknown,Married,$80K - $120K,Blue,36,4,3,3,19435.0,2120,0.625,2062,55,0.486,0.109
Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,46,3,3,3,3312.0,1624,0.573,1973,55,0.667,0.49
Existing Customer,41,M,3,College,Single,$60K - $80K,Blue,33,6,1,4,5246.0,0,0.969,3189,56,0.556,0.0
Existing Customer,53,M,1,Graduate,Unknown,$60K - $80K,Blue,41,4,1,2,2432.0,1554,1.158,3670,60,0.818,0.639
Existing Customer,36,F,5,Graduate,Married,Less than $40K,Blue,30,3,3,3,3103.0,2399,0.581,1836,48,0.655,0.773
Existing Customer,45,M,4,College,Unknown,$120K +,Blue,40,3,2,2,11962.0,1025,0.694,1907,52,0.926,0.086
Existing Customer,36,M,2,High School,Single,$80K - $120K,Blue,27,5,3,3,14690.0,979,0.811,2746,68,0.511,0.067
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,32,5,1,2,6629.0,1389,0.828,3891,69,0.643,0.21
Existing Customer,38,M,4,Graduate,Married,$40K - $60K,Blue,27,6,2,4,5535.0,1276,0.636,1764,38,0.9,0.231
Existing Customer,35,F,2,High School,Married,Less than $40K,Blue,22,4,3,3,2544.0,1848,0.804,2289,49,0.441,0.726
Existing Customer,48,M,3,College,Married,Less than $40K,Blue,37,4,3,3,3305.0,2517,0.766,2027,57,1.036,0.762
Existing Customer,33,F,2,Doctorate,Single,Unknown,Blue,21,4,3,4,5297.0,0,0.779,2655,62,0.55,0.0
Existing Customer,40,F,4,College,Single,Less than $40K,Blue,26,6,1,2,7291.0,2517,0.83,2198,56,0.697,0.345
Existing Customer,43,M,4,High School,Unknown,$80K - $120K,Blue,37,4,2,3,13882.0,758,0.5,1646,42,0.75,0.055
Existing Customer,36,M,4,Uneducated,Married,$80K - $120K,Blue,25,4,3,3,5846.0,1732,0.611,2056,41,0.64,0.296
Existing Customer,34,M,1,High School,Married,$60K - $80K,Blue,27,3,1,2,8063.0,2149,0.722,2042,49,0.69,0.267
Existing Customer,29,M,0,Unknown,Married,$60K - $80K,Blue,23,3,3,2,6224.0,1092,0.919,2222,39,0.56,0.175
Existing Customer,55,M,1,Doctorate,Married,$60K - $80K,Blue,49,6,2,4,4597.0,2442,0.512,1504,38,0.357,0.531
Existing Customer,45,M,2,College,Married,$60K - $80K,Blue,35,6,3,2,17884.0,2096,0.477,2031,49,0.633,0.117
Attrited Customer,52,F,0,Doctorate,Single,Less than $40K,Blue,36,2,2,3,1438.3,978,0.773,947,33,0.571,0.68
Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,32,5,1,3,2046.0,1694,0.853,3432,49,0.96,0.828
Existing Customer,46,F,4,Uneducated,Married,Less than $40K,Blue,36,4,2,2,6370.0,0,0.855,1783,40,0.667,0.0
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,46,6,2,2,2737.0,2517,0.533,1619,37,0.48,0.92
Existing Customer,36,M,1,Graduate,Single,Less than $40K,Blue,25,6,1,2,2622.0,2489,0.84,2717,79,0.549,0.949
Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,33,2,3,3,7266.0,906,0.676,1741,27,0.421,0.125
Existing Customer,37,F,2,Uneducated,Single,Less than $40K,Blue,30,6,3,3,2258.0,1338,0.86,2511,55,0.774,0.593
Existing Customer,35,M,3,Graduate,Single,$80K - $120K,Blue,25,3,2,3,6510.0,2055,1.042,2238,49,0.531,0.316
Existing Customer,52,F,2,Uneducated,Married,Unknown,Blue,36,5,1,2,4006.0,2517,0.557,1157,34,0.619,0.628
Existing Customer,37,F,5,High School,Single,$40K - $60K,Blue,19,4,1,2,3252.0,1987,0.658,2953,72,0.714,0.611
Existing Customer,45,F,4,Uneducated,Married,Unknown,Blue,26,4,3,1,16317.0,0,0.742,2944,71,0.972,0.0
Existing Customer,55,M,0,Graduate,Married,$120K +,Blue,42,3,2,1,8302.0,2517,0.661,1576,34,0.789,0.303
Existing Customer,55,M,2,Graduate,Married,$80K - $120K,Blue,47,3,3,3,9959.0,1209,0.548,1584,28,0.273,0.121
Existing Customer,41,M,4,Uneducated,Single,$40K - $60K,Blue,36,4,3,4,3636.0,1884,0.924,4254,79,0.491,0.518
Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,46,5,1,1,5184.0,1856,0.553,1834,55,0.571,0.358
Existing Customer,62,F,0,College,Married,$40K - $60K,Blue,49,6,1,2,1438.3,0,0.757,1281,32,1.0,0.0
Existing Customer,42,M,4,College,Unknown,$60K - $80K,Blue,25,4,3,3,3092.0,1115,0.802,2133,41,0.783,0.361
Existing Customer,47,F,1,Graduate,Married,Less than $40K,Blue,36,4,2,1,8322.0,0,0.86,3700,62,1.0,0.0
Existing Customer,44,F,0,Graduate,Married,Less than $40K,Silver,36,5,3,2,10110.0,1229,0.65,4063,74,0.48,0.122
Existing Customer,34,F,1,High School,Married,Less than $40K,Blue,28,4,3,4,2707.0,2036,0.827,1926,33,0.941,0.752
Existing Customer,37,M,1,Graduate,Single,Unknown,Blue,32,4,1,3,4397.0,2007,0.892,2473,47,1.136,0.456
Existing Customer,33,F,2,Graduate,Single,Unknown,Blue,21,3,3,2,5795.0,0,0.746,2322,65,0.585,0.0
Existing Customer,40,M,4,Uneducated,Married,$80K - $120K,Blue,23,6,3,2,9760.0,1657,1.134,4542,86,0.87,0.17
Existing Customer,46,M,3,Graduate,Single,$80K - $120K,Blue,35,6,3,4,4930.0,0,1.019,3343,77,0.638,0.0
Existing Customer,35,F,1,Uneducated,Married,Less than $40K,Blue,36,3,2,4,2004.0,0,0.681,1974,60,0.364,0.0
Existing Customer,55,F,2,Post-Graduate,Married,Less than $40K,Blue,49,4,1,1,2414.0,2276,0.567,2000,62,0.59,0.943
Existing Customer,60,F,0,Doctorate,Married,Less than $40K,Blue,45,5,2,4,1438.3,648,0.477,1267,27,1.077,0.451
Existing Customer,56,M,2,Graduate,Married,$60K - $80K,Blue,44,3,1,2,2043.0,1928,0.791,2311,57,0.839,0.944
Existing Customer,56,M,1,Graduate,Married,$120K +,Blue,48,6,3,4,2585.0,1207,0.44,1590,33,0.32,0.467
Existing Customer,34,M,3,High School,Married,$80K - $120K,Blue,23,5,1,4,4185.0,2517,0.861,2179,55,0.774,0.601
Existing Customer,32,M,3,Unknown,Single,$120K +,Blue,20,6,2,2,14244.0,1673,0.699,2729,66,0.535,0.117
Attrited Customer,48,M,4,Doctorate,Single,$80K - $120K,Blue,28,3,3,4,6572.0,417,0.584,1766,46,0.533,0.063
Existing Customer,50,F,2,Uneducated,Married,Unknown,Blue,34,5,3,2,23381.0,905,0.645,4357,73,0.521,0.039
Existing Customer,39,F,2,Uneducated,Married,Less than $40K,Blue,26,5,3,2,3471.0,2517,0.743,1771,34,0.889,0.725
Existing Customer,61,F,0,Graduate,Married,Less than $40K,Blue,51,4,2,1,2250.0,1041,0.678,1339,28,0.867,0.463
Existing Customer,65,F,1,Unknown,Married,Unknown,Blue,53,5,3,2,15965.0,2312,0.59,1619,40,0.538,0.145
Existing Customer,45,F,1,High School,Divorced,Less than $40K,Blue,36,6,2,2,9433.0,1578,0.66,3910,81,0.653,0.167
Existing Customer,34,M,3,Uneducated,Divorced,$120K +,Blue,28,4,3,3,9180.0,1814,0.628,2646,49,0.633,0.198
Existing Customer,37,M,3,Graduate,Married,$40K - $60K,Blue,36,4,2,4,8818.0,1437,0.649,1865,31,0.938,0.163
Existing Customer,44,F,3,Graduate,Single,Less than $40K,Blue,36,5,1,3,4066.0,1028,0.972,3888,77,0.604,0.253
Existing Customer,56,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,1,1,9031.0,1535,0.69,1602,35,0.591,0.17
Existing Customer,36,M,4,Unknown,Single,$40K - $60K,Blue,36,6,1,2,9887.0,994,0.488,2552,64,0.455,0.101
Existing Customer,57,M,3,College,Unknown,$60K - $80K,Blue,50,6,3,4,16791.0,1181,0.55,2983,74,0.682,0.07
Existing Customer,62,M,1,Graduate,Married,Unknown,Blue,36,5,2,2,3198.0,2308,0.724,1402,35,0.842,0.722
Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,Blue,23,1,3,3,2218.0,1696,0.367,730,20,0.429,0.765
Existing Customer,53,M,3,High School,Married,$80K - $120K,Blue,44,4,2,3,23462.0,2202,0.571,1387,33,0.65,0.094
Existing Customer,55,M,3,College,Married,$60K - $80K,Blue,36,5,4,4,2252.0,1737,0.685,1291,27,0.5,0.771
Existing Customer,26,F,1,Unknown,Single,Less than $40K,Blue,36,4,3,3,2557.0,1990,0.575,2266,57,0.357,0.778
Attrited Customer,35,F,0,Graduate,Single,Less than $40K,Blue,25,5,3,4,2300.0,0,0.877,1485,34,0.478,0.0
Existing Customer,31,F,0,Graduate,Married,Less than $40K,Blue,26,3,1,1,3540.0,1173,1.106,1912,45,0.667,0.331
Existing Customer,53,M,3,Unknown,Single,$60K - $80K,Blue,42,6,1,2,22938.0,1700,0.636,3428,54,0.5,0.074
Existing Customer,45,M,2,Graduate,Married,$40K - $60K,Blue,34,5,1,3,13129.0,901,0.825,2564,56,0.474,0.069
Existing Customer,31,F,0,Uneducated,Single,Less than $40K,Blue,20,4,3,4,4712.0,955,0.855,2568,62,0.59,0.203
Existing Customer,37,M,2,Graduate,Single,$60K - $80K,Blue,36,4,2,2,7638.0,947,0.682,2336,58,0.611,0.124
Existing Customer,41,M,3,Post-Graduate,Married,$60K - $80K,Blue,34,4,2,2,2624.0,1319,0.768,4189,74,0.609,0.503
Existing Customer,57,F,4,High School,Married,Less than $40K,Blue,47,5,3,4,3191.0,2517,0.719,1501,35,0.591,0.789
Existing Customer,35,M,1,Unknown,Single,$60K - $80K,Blue,25,6,3,2,6053.0,2001,0.743,2208,59,0.595,0.331
Existing Customer,39,M,2,Unknown,Married,$40K - $60K,Blue,26,6,1,2,5510.0,2027,0.898,1980,42,0.68,0.368
Existing Customer,55,M,3,Doctorate,Married,$120K +,Blue,40,4,3,1,12875.0,1119,0.401,1624,40,0.429,0.087
Existing Customer,41,F,2,High School,Married,$40K - $60K,Blue,36,5,2,4,2602.0,1490,0.66,3151,78,0.66,0.573
Existing Customer,55,F,0,Uneducated,Married,Less than $40K,Blue,51,4,3,1,2041.0,1885,0.587,2118,48,0.778,0.924
Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,45,3,3,3,2548.0,1683,0.75,2055,54,0.636,0.661
Existing Customer,57,M,2,Graduate,Married,$120K +,Blue,49,6,3,1,4698.0,984,0.373,1865,35,0.458,0.209
Existing Customer,40,F,3,High School,Unknown,Less than $40K,Blue,31,5,2,4,2222.0,1551,0.932,3302,65,0.585,0.698
Existing Customer,47,M,4,High School,Married,$80K - $120K,Blue,36,3,3,4,8217.0,0,0.678,1848,56,0.514,0.0
Existing Customer,42,F,4,Uneducated,Single,Less than $40K,Silver,36,4,3,3,10091.0,0,1.121,3347,64,0.778,0.0
Existing Customer,36,M,3,Graduate,Married,$120K +,Blue,29,5,2,4,12852.0,1945,0.659,1606,33,0.941,0.151
Existing Customer,36,M,3,High School,Married,$60K - $80K,Blue,36,5,2,4,5497.0,1517,0.624,1981,38,0.357,0.276
Existing Customer,51,F,1,Graduate,Married,$40K - $60K,Blue,45,5,2,2,6778.0,865,0.992,3158,71,0.775,0.128
Attrited Customer,46,M,3,Graduate,Married,$60K - $80K,Blue,36,2,3,4,4267.0,0,0.862,1067,23,0.769,0.0
Existing Customer,33,M,2,Doctorate,Single,$40K - $60K,Blue,25,5,2,2,9371.0,1541,0.781,2518,67,0.971,0.164
Existing Customer,50,F,3,High School,Single,Less than $40K,Blue,38,3,3,1,1438.3,663,0.384,2987,73,0.622,0.461
Attrited Customer,57,F,3,High School,Single,Unknown,Blue,36,1,4,2,8389.0,1960,0.384,1334,38,0.407,0.234
Existing Customer,48,M,2,High School,Married,$40K - $60K,Blue,29,3,2,1,6168.0,2371,0.668,4303,80,0.509,0.384
Existing Customer,57,F,3,Unknown,Single,Unknown,Blue,40,3,3,1,2111.0,966,0.923,3871,87,0.706,0.458
Existing Customer,63,F,1,Unknown,Married,$40K - $60K,Blue,49,3,1,3,3141.0,1819,0.497,1539,35,0.522,0.579
Existing Customer,39,M,2,College,Married,$60K - $80K,Blue,26,3,1,4,2731.0,1573,0.943,1813,38,0.727,0.576
Existing Customer,39,F,4,Unknown,Married,Less than $40K,Blue,31,6,1,4,2890.0,0,0.545,2040,36,0.44,0.0
Existing Customer,37,M,1,Graduate,Married,$80K - $120K,Blue,26,6,3,1,8058.0,1176,1.164,2774,52,0.625,0.146
Existing Customer,50,F,2,Uneducated,Married,Unknown,Blue,45,6,1,4,5660.0,2401,0.779,1932,35,0.346,0.424
Existing Customer,38,M,2,Graduate,Unknown,$40K - $60K,Blue,36,4,3,4,9515.0,0,0.79,4642,61,0.605,0.0
Existing Customer,65,F,0,High School,Single,$40K - $60K,Blue,36,3,3,3,10962.0,1559,0.708,2724,71,0.651,0.142
Existing Customer,41,M,2,College,Single,$80K - $120K,Blue,35,6,3,3,2647.0,620,0.664,2262,47,0.424,0.234
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,47,3,1,2,4580.0,1300,0.519,1694,34,0.7,0.284
Existing Customer,57,M,3,College,Married,$80K - $120K,Blue,45,6,3,4,14270.0,0,0.398,1222,37,0.423,0.0
Existing Customer,35,F,2,Graduate,Married,Less than $40K,Blue,21,5,1,2,3230.0,2517,0.677,1914,31,0.348,0.779
Existing Customer,31,M,0,Uneducated,Divorced,$40K - $60K,Blue,21,6,2,2,2621.0,1461,0.775,2718,71,0.775,0.557
Existing Customer,50,F,3,College,Single,Less than $40K,Blue,32,5,3,4,4419.0,1218,0.879,4535,75,0.562,0.276
Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,39,5,1,4,9235.0,1796,0.958,1739,42,0.448,0.194
Existing Customer,41,M,1,Graduate,Divorced,$80K - $120K,Blue,35,6,2,3,19412.0,770,0.755,1576,41,0.952,0.04
Existing Customer,56,M,1,Unknown,Married,$80K - $120K,Blue,36,6,1,3,12786.0,1880,0.702,1205,19,0.462,0.147
Existing Customer,55,M,1,Graduate,Married,$60K - $80K,Blue,36,4,2,3,4666.0,1275,0.397,1281,28,0.75,0.273
Existing Customer,48,F,4,College,Single,Less than $40K,Blue,38,4,3,3,4894.0,1505,0.78,3277,67,0.558,0.308
Existing Customer,30,F,0,Post-Graduate,Single,Less than $40K,Blue,18,6,3,2,2132.0,797,0.779,3265,74,0.574,0.374
Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,24,5,3,2,6590.0,0,0.714,2449,67,0.634,0.0
Existing Customer,53,F,2,Graduate,Married,Less than $40K,Blue,36,6,1,3,3176.0,1470,0.388,1634,53,0.472,0.463
Existing Customer,37,M,1,Graduate,Single,$60K - $80K,Blue,27,4,1,3,4288.0,2349,0.718,2591,57,0.541,0.548
Existing Customer,48,M,2,Doctorate,Single,Less than $40K,Blue,43,3,3,2,5945.0,1685,0.9,3598,67,0.718,0.283
Existing Customer,35,F,3,Graduate,Single,Less than $40K,Blue,27,3,3,2,5780.0,938,0.988,2960,65,0.757,0.162
Existing Customer,49,F,2,High School,Unknown,$40K - $60K,Blue,38,4,1,2,2497.0,1674,0.701,2922,53,0.963,0.67
Existing Customer,58,M,1,Unknown,Married,$60K - $80K,Blue,36,3,1,3,2347.0,2163,0.615,1631,40,0.29,0.922
Existing Customer,29,F,2,Uneducated,Single,Unknown,Blue,18,4,1,2,23125.0,1236,0.995,2536,69,0.865,0.053
Existing Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,28,5,1,3,6824.0,1873,0.563,1933,48,0.655,0.274
Existing Customer,41,M,2,Graduate,Married,Less than $40K,Blue,29,3,2,2,2683.0,1738,0.745,2274,52,0.733,0.648
Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue,40,5,2,1,12280.0,985,0.841,4263,70,1.0,0.08
Existing Customer,58,M,4,Graduate,Married,$60K - $80K,Blue,36,3,2,2,14607.0,1480,0.346,1393,38,0.462,0.101
Existing Customer,53,F,1,Doctorate,Single,Less than $40K,Blue,48,4,3,3,2267.0,1469,0.716,3709,64,0.684,0.648
Existing Customer,54,F,3,Unknown,Married,Less than $40K,Blue,36,6,2,4,2556.0,2260,0.487,1401,30,0.579,0.884
Existing Customer,39,F,1,Uneducated,Divorced,Unknown,Blue,34,4,1,2,12512.0,666,0.914,2995,60,0.875,0.053
Existing Customer,49,M,2,Graduate,Married,$80K - $120K,Blue,39,3,2,2,11332.0,946,0.857,3806,65,0.667,0.083
Existing Customer,35,F,3,High School,Married,Less than $40K,Blue,23,3,3,4,3073.0,526,0.702,1944,55,0.618,0.171
Existing Customer,38,M,3,Graduate,Married,$60K - $80K,Blue,34,6,3,3,5323.0,2301,0.68,1783,33,0.65,0.432
Existing Customer,38,M,3,High School,Single,$60K - $80K,Blue,25,5,1,4,9859.0,1305,0.722,4345,72,0.674,0.132
Attrited Customer,46,M,3,College,Single,$80K - $120K,Blue,39,1,4,3,4026.0,243,0.738,1102,27,0.8,0.06
Existing Customer,37,M,1,High School,Single,$40K - $60K,Blue,25,3,2,3,2608.0,1799,0.732,2565,72,0.636,0.69
Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue,36,4,1,4,3552.0,2517,0.465,1342,26,1.0,0.709
Existing Customer,26,M,0,College,Single,$40K - $60K,Blue,36,5,2,3,2657.0,1611,0.599,2349,41,0.464,0.606
Existing Customer,58,F,2,Graduate,Married,Less than $40K,Blue,44,4,2,3,5031.0,1327,0.553,1433,34,0.889,0.264
Existing Customer,48,F,3,Graduate,Single,Less than $40K,Blue,43,6,2,2,2423.0,1773,0.574,2038,64,0.362,0.732
Existing Customer,62,F,0,Doctorate,Married,$40K - $60K,Blue,51,3,3,2,3377.0,948,0.461,1407,44,0.467,0.281
Existing Customer,40,F,2,Graduate,Single,Less than $40K,Blue,29,4,3,2,2295.0,0,0.699,3292,62,0.824,0.0
Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,41,3,3,2,3150.0,1543,0.998,3432,71,0.972,0.49
Existing Customer,47,M,2,Graduate,Unknown,$60K - $80K,Blue,34,3,2,4,4249.0,1562,0.773,1881,49,0.815,0.368
Existing Customer,50,M,2,Unknown,Divorced,$60K - $80K,Blue,41,6,1,3,2966.0,1433,0.49,1986,50,0.613,0.483
Existing Customer,53,M,1,Graduate,Married,$120K +,Blue,41,6,3,2,1612.0,744,0.636,1564,33,0.5,0.462
Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,36,3,1,3,14593.0,1504,0.668,3447,72,0.895,0.103
Existing Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,38,6,3,2,8327.0,1551,0.463,4428,82,0.822,0.186
Existing Customer,56,M,2,High School,Married,$120K +,Blue,41,4,1,3,18442.0,1470,0.491,1281,36,0.8,0.08
Existing Customer,43,F,3,College,Married,$40K - $60K,Blue,31,5,3,2,2800.0,2517,0.816,1994,41,0.64,0.899
Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032.0,2215,0.408,1387,30,0.579,0.731
Existing Customer,52,F,1,Uneducated,Married,$40K - $60K,Blue,47,6,3,3,2151.0,1338,0.926,3446,58,1.0,0.622
Existing Customer,52,F,1,Graduate,Divorced,Unknown,Blue,35,3,2,4,13169.0,1499,0.603,4370,83,0.537,0.114
Existing Customer,58,M,2,College,Married,$80K - $120K,Blue,44,3,2,2,11811.0,2508,0.476,1469,29,0.812,0.212
Existing Customer,36,M,1,High School,Single,$40K - $60K,Blue,20,5,1,2,12714.0,976,0.649,2240,53,0.395,0.077
Existing Customer,55,F,0,Graduate,Single,$40K - $60K,Blue,35,5,1,3,3735.0,1978,0.675,1749,41,0.577,0.53
Existing Customer,36,M,2,College,Married,$40K - $60K,Blue,36,4,3,1,3877.0,1495,0.783,1942,42,0.75,0.386
Existing Customer,53,M,2,Graduate,Married,$120K +,Blue,36,5,1,3,11023.0,0,0.539,1656,41,0.367,0.0
Existing Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,36,4,2,2,6182.0,1131,0.566,3546,63,0.615,0.183
Existing Customer,37,M,3,Uneducated,Single,$40K - $60K,Blue,19,3,3,4,2186.0,1185,0.998,2614,67,0.861,0.542
Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,43,6,2,3,2306.0,2200,0.697,2097,57,0.541,0.954
Existing Customer,35,F,2,College,Married,Less than $40K,Blue,18,3,3,2,5779.0,2517,1.201,2102,32,1.133,0.436
Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,30,6,1,2,5494.0,2078,0.79,2661,58,0.871,0.378
Existing Customer,36,F,2,Uneducated,Single,$40K - $60K,Blue,26,3,2,4,3131.0,2379,0.748,2315,63,0.853,0.76
